ID	Forward	Reverse	home_location	home_sequence	hybrid
23_34A_WT_P1_1	23_34A_WT_P1_1_Fw	23_34A_WT_P1_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P2_1	23_34A_WT_P2_1_Fw	23_34A_WT_P2_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P2_2	23_34A_WT_P2_2_Fw	23_34A_WT_P2_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P2_3	23_34A_WT_P2_3_Fw	23_34A_WT_P2_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P2_4	23_34A_WT_P2_4_Fw	23_34A_WT_P2_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P2_5	23_34A_WT_P2_5_Fw	23_34A_WT_P2_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P3_1	23_34A_WT_P3_1_Fw	23_34A_WT_P3_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P3_2	23_34A_WT_P3_2_Fw	23_34A_WT_P3_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P3_3	23_34A_WT_P3_3_Fw	23_34A_WT_P3_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P3_4	23_34A_WT_P3_4_Fw	23_34A_WT_P3_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P3_5	23_34A_WT_P3_5_Fw	23_34A_WT_P3_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P4_1	23_34A_WT_P4_1_Fw	23_34A_WT_P4_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P4_2	23_34A_WT_P4_2_Fw	23_34A_WT_P4_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P4_3	23_34A_WT_P4_3_Fw	23_34A_WT_P4_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P4_4	23_34A_WT_P4_4_Fw	23_34A_WT_P4_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P4_5	23_34A_WT_P4_5_Fw	23_34A_WT_P4_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P5_1	23_34A_WT_P5_1_Fw	23_34A_WT_P5_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P5_2	23_34A_WT_P5_2_Fw	23_34A_WT_P5_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P5_3	23_34A_WT_P5_3_Fw	23_34A_WT_P5_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P5_4	23_34A_WT_P5_4_Fw	23_34A_WT_P5_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P5_5	23_34A_WT_P5_5_Fw	23_34A_WT_P5_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P6_1	23_34A_WT_P6_1_Fw	23_34A_WT_P6_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P6_2	23_34A_WT_P6_2_Fw	23_34A_WT_P6_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P6_3	23_34A_WT_P6_3_Fw	23_34A_WT_P6_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P6_4	23_34A_WT_P6_4_Fw	23_34A_WT_P6_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_WT_P6_5	23_34A_WT_P6_5_Fw	23_34A_WT_P6_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P2_1	23_34A_DelD2_P2_1_Fw	23_34A_DelD2_P2_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P2_2	23_34A_DelD2_P2_2_Fw	23_34A_DelD2_P2_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P2_3	23_34A_DelD2_P2_3_Fw	23_34A_DelD2_P2_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P2_4	23_34A_DelD2_P2_4_Fw	23_34A_DelD2_P2_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P2_5	23_34A_DelD2_P2_5_Fw	23_34A_DelD2_P2_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P2_1	23_34A_DelE12_P2_1_Fw	23_34A_DelE12_P2_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P2_2	23_34A_DelE12_P2_2_Fw	23_34A_DelE12_P2_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P2_3	23_34A_DelE12_P2_3_Fw	23_34A_DelE12_P2_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P2_4	23_34A_DelE12_P2_4_Fw	23_34A_DelE12_P2_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P2_5	23_34A_DelE12_P2_5_Fw	23_34A_DelE12_P2_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P3_1	23_34A_DelD2_P3_1_Fw	23_34A_DelD2_P3_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P3_2	23_34A_DelD2_P3_2_Fw	23_34A_DelD2_P3_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P3_3	23_34A_DelD2_P3_3_Fw	23_34A_DelD2_P3_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P3_4	23_34A_DelD2_P3_4_Fw	23_34A_DelD2_P3_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P3_5	23_34A_DelD2_P3_5_Fw	23_34A_DelD2_P3_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P3_1	23_34A_DelE12_P3_1_Fw	23_34A_DelE12_P3_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P3_2	23_34A_DelE12_P3_2_Fw	23_34A_DelE12_P3_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P3_3	23_34A_DelE12_P3_3_Fw	23_34A_DelE12_P3_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P3_4	23_34A_DelE12_P3_4_Fw	23_34A_DelE12_P3_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P3_5	23_34A_DelE12_P3_5_Fw	23_34A_DelE12_P3_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P4_1	23_34A_DelD2_P4_1_Fw	23_34A_DelD2_P4_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P4_2	23_34A_DelD2_P4_2_Fw	23_34A_DelD2_P4_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P4_3	23_34A_DelD2_P4_3_Fw	23_34A_DelD2_P4_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P4_4	23_34A_DelD2_P4_4_Fw	23_34A_DelD2_P4_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P4_5	23_34A_DelD2_P4_5_Fw	23_34A_DelD2_P4_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P4_1	23_34A_DelE12_P4_1_Fw	23_34A_DelE12_P4_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P4_2	23_34A_DelE12_P4_2_Fw	23_34A_DelE12_P4_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P4_3	23_34A_DelE12_P4_3_Fw	23_34A_DelE12_P4_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P4_4	23_34A_DelE12_P4_4_Fw	23_34A_DelE12_P4_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P4_5	23_34A_DelE12_P4_5_Fw	23_34A_DelE12_P4_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P5_1	23_34A_DelD2_P5_1_Fw	23_34A_DelD2_P5_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P5_2	23_34A_DelD2_P5_2_Fw	23_34A_DelD2_P5_2_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P5_3	23_34A_DelD2_P5_3_Fw	23_34A_DelD2_P5_3_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P5_4	23_34A_DelD2_P5_4_Fw	23_34A_DelD2_P5_4_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelD2_P5_5	23_34A_DelD2_P5_5_Fw	23_34A_DelD2_P5_5_Rv	F1CBS_16	F1CBS_16	CAST-129S
23_34A_DelE12_P5_1	23_34A_DelE12_P5_1_Fw	23_34A_DelE12_P5_1_Rv	F1CBS_16	F1CBS_16	CAST-129S
